   2.000000000000E+001   9.283497883980E-008   1.679194369620E-009  -2.872070976052E-043  -8.406001359064E-041   3.747197829818E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.000000000000E+001   1.214714466782E-007   1.310977781819E-009  -1.495013193802E-041  -4.324525818225E-039   2.756640481902E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   6.000000000000E+001   1.449840625380E-007   1.104000415868E-009  -3.891423977280E-040  -1.112611539383E-037   2.270055940344E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   8.000000000000E+001   1.653279301913E-007   9.693059142471E-010  -6.755316804578E-039  -1.909300592657E-036   1.974342990410E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   1.000000000000E+002   1.834879393555E-007   8.733924445316E-010  -8.801029259959E-038  -2.459328893059E-035   1.770694689706E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   1.200000000000E+002   2.000335498711E-007   8.008803138243E-010  -9.181798156007E-037  -2.537083103971E-034   1.619333401645E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   1.400000000000E+002   2.153261244756E-007   7.436798731619E-010  -7.992580779400E-036  -2.184211227535E-033   1.501042014547E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   1.600000000000E+002   2.296108328732E-007   6.971091997371E-010  -5.972795335467E-035  -1.614617625964E-032   1.405270643354E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   1.800000000000E+002   2.430626154984E-007   6.582592163733E-010  -3.912802731257E-034  -1.046537032051E-031   1.325673422562E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   2.000000000000E+002   2.558112990496E-007   6.252198357567E-010  -2.283454355461E-033  -6.044069079738E-031   1.258165330938E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   2.200000000000E+002   2.679562938700E-007   5.966802853193E-010  -1.202324426678E-032  -3.150141954679E-030   1.200108074339E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   2.400000000000E+002   2.795756826332E-007   5.717080651634E-010  -5.771346574120E-032  -1.497139890660E-029   1.149395668076E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   2.600000000000E+002   2.907321018970E-007   5.496196741069E-010  -2.547413315187E-031  -6.544412625133E-029   1.104586542171E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   2.800000000000E+002   3.014766953790E-007   5.299013889985E-010  -1.041480396209E-030  -2.650457823364E-028   1.064620304446E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   3.000000000000E+002   3.118518576142E-007   5.121587559287E-010  -3.968671068078E-030  -1.000756908825E-027   1.028685211783E-007   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   3.200000000000E+002   3.218931908322E-007   4.960832772396E-010  -1.417219858663E-029  -3.542025073574E-027   9.961479143777E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   3.400000000000E+002   3.316309338945E-007   4.814297882224E-010  -4.765349696346E-029  -1.180752288644E-026   9.665060220925E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   3.600000000000E+002   3.410910272866E-007   4.680006978551E-010  -1.515124831179E-028  -3.722902860601E-026   9.393552267003E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   3.800000000000E+002   3.502959212352E-007   4.556347637903E-010  -4.572272469985E-028  -1.114434967379E-025   9.143659820111E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.000000000000E+002   3.592651987210E-007   4.441989382343E-010  -1.314057268494E-027  -3.177944101227E-025   8.912666231080E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.200000000000E+002   3.680160626311E-007   4.335823400963E-010  -3.607635919274E-027  -8.659313322970E-025   8.698309234771E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.400000000000E+002   3.765637215429E-007   4.236917286277E-010  -9.487771062132E-027  -2.260852510288E-024   8.498687735809E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.600000000000E+002   3.849216987511E-007   4.144480562437E-010  -2.396298678172E-026  -5.670396166134E-024   8.312190953780E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   4.800000000000E+002   3.931020823936E-007   4.057838094492E-010  -5.825909071918E-026  -1.369354846648E-023   8.137443850903E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   5.000000000000E+002   4.011157298274E-007   3.976409336747E-010  -1.366352559209E-025  -3.190864250533E-023   7.973264595211E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   5.200000000000E+002   4.089724360750E-007   3.899691964687E-010  -3.097399699354E-025  -7.188647128695E-023   7.818631041778E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
   5.400000000000E+002   4.166810737644E-007   3.827248837666E-010  -6.799277236002E-025  -1.568648346872E-022   7.672654055492E-008   5.000000000000E-004   0.000000000000E+000   0.000000000000E+000   1.000000000000E-001
